code;location;registered;envelopes;valid
7103;Okres: Prostějov;205;145;144
7103;Okres: Prostějov;834;527;524
7103;Okres: Prostějov;431;279;275
7103;Okres: Prostějov;238;132;131
7103;Okres: Prostějov;376;236;236
7103;Okres: Prostějov;107;67;67
7103;Okres: Prostějov;695;460;460
7103;Okres: Prostějov;1224;656;655
7103;Okres: Prostějov;178;111;111
7103;Okres: Prostějov;331;208;206
7103;Okres: Prostějov;264;170;169
7103;Okres: Prostějov;426;281;280
7103;Okres: Prostějov;814;512;512
7103;Okres: Prostějov;437;272;272
7103;Okres: Prostějov;1063;649;642
7103;Okres: Prostějov;427;284;281
7103;Okres: Prostějov;270;172;170
7103;Okres: Prostějov;629;308;308
7103;Okres: Prostějov;459;244;244
7103;Okres: Prostějov;443;290;287
7103;Okres: Prostějov;1139;748;742
7103;Okres: Prostějov;380;220;219
7103;Okres: Prostějov;209;133;133
7103;Okres: Prostějov;83;67;65
7103;Okres: Prostějov;292;174;173
7103;Okres: Prostějov;749;454;452
7103;Okres: Prostějov;326;196;194
7103;Okres: Prostějov;178;109;109
7103;Okres: Prostějov;617;376;374
7103;Okres: Prostějov;191;90;88
7103;Okres: Prostějov;524;340;336
7103;Okres: Prostějov;390;238;237
7103;Okres: Prostějov;246;139;139
7103;Okres: Prostějov;289;140;140
7103;Okres: Prostějov;654;355;354
7103;Okres: Prostějov;238;165;165
7103;Okres: Prostějov;2285;1393;1358
7103;Okres: Prostějov;2302;1334;1323
7103;Okres: Prostějov;232;152;151
7103;Okres: Prostějov;1257;807;804
7103;Okres: Prostějov;465;284;284
7103;Okres: Prostějov;487;335;334
7103;Okres: Prostějov;320;196;194
7103;Okres: Prostějov;615;450;449
7103;Okres: Prostějov;480;239;239
7103;Okres: Prostějov;309;185;185
7103;Okres: Prostějov;422;226;223
7103;Okres: Prostějov;1248;842;836
7103;Okres: Prostějov;569;371;370
7103;Okres: Prostějov;1612;942;939
7103;Okres: Prostějov;1140;619;615
7103;Okres: Prostějov;257;160;160
7103;Okres: Prostějov;207;95;94
7103;Okres: Prostějov;370;267;266
7103;Okres: Prostějov;152;102;99
7103;Okres: Prostějov;1375;844;839
7103;Okres: Prostějov;289;173;171
7103;Okres: Prostějov;1029;650;647
7103;Okres: Prostějov;229;144;143
7103;Okres: Prostějov;232;135;134
7103;Okres: Prostějov;594;352;349
7103;Okres: Prostějov;565;382;381
7103;Okres: Prostějov;1934;1180;1175
7103;Okres: Prostějov;124;78;78
7103;Okres: Prostějov;35975;21073;20934
7103;Okres: Prostějov;242;138;137
7103;Okres: Prostějov;805;549;547
7103;Okres: Prostějov;1029;621;617
7103;Okres: Prostějov;880;524;520
7103;Okres: Prostějov;163;104;101
7103;Okres: Prostějov;80;61;61
7103;Okres: Prostějov;503;294;290
7103;Okres: Prostějov;410;288;287
7103;Okres: Prostějov;212;131;131
7103;Okres: Prostějov;274;145;144
7103;Okres: Prostějov;453;314;313
7103;Okres: Prostějov;1319;797;786
7103;Okres: Prostějov;73;39;39
7103;Okres: Prostějov;447;279;278
7103;Okres: Prostějov;126;74;73
7103;Okres: Prostějov;345;222;220
7103;Okres: Prostějov;499;360;356
7103;Okres: Prostějov;204;110;109
7103;Okres: Prostějov;393;215;215
7103;Okres: Prostějov;252;152;152
7103;Okres: Prostějov;1101;613;611
7103;Okres: Prostějov;354;204;204
7103;Okres: Prostějov;404;254;250
7103;Okres: Prostějov;109;80;80
7103;Okres: Prostějov;146;84;84
7103;Okres: Prostějov;492;321;318
7103;Okres: Prostějov;1306;863;857
7103;Okres: Prostějov;478;282;275
7103;Okres: Prostějov;419;281;280
7103;Okres: Prostějov;399;266;263
7103;Okres: Prostějov;282;196;194
7103;Okres: Prostějov;436;278;278
